Domain,Topic,News,Label
Politics,Clinton's emotional concession: This is 'painful and will be for a long time',"Hillary Clinton ended her historic presidential campaign Wednesday, saying it is ""painful and will be for a long time,"" as she urged for a peaceful transfer of power.",Legit
Celebrity,"Selena Gomez And The  eeknd Engaged, Planning For Summer 2017  edding?","Selena Gomez and The  eeknd are reportedly ""getting married"" in August 2017.",Fake
Celebrity,Anna Faris Feels Insecure Because Of Her Husband's Affair with Jennifer Lawrence! Is Chris Pratt To Blame? – Live Rumours,"Jennifer Lawrence, who is heart of millions of boys, recently made all her fans shocked.  ell it was not in the movie, but from the news; rather we say a rumour having an affair with Chris Pratt. Most of us' mind freeze because of these alleged highlights in tabloids, but later both of them finely denied. As of Jennifer's choice, she has chosen to be single for now; while Chris is already tied with Anna Faris. Faris feels insecurity because of this faked news fueling the tabloids about love between her husband Chris and Jennifer though.  ell, is it true or not, we will cover it in this article!",Fake
Celebrity,Miley And Liam Fighting? False Rumors Swirl That They're In A Feud Over A Supposed Prenup,Are Miley Cyrus and Liam Hemsworth fighting? A new report claims that Cyrus and Hemsworth had a huge fight over their supposed prenup while they were making their wedding plans.,Legit
Celebrity,"EXCLUSIVE:  HERE  ILLIAM, KATE, AND GEORGE ARE HEADED FOR A MONTH-LONG SUMMER VACATION","They have spent the last two days supporting Great Britain at the Commonwealth Games in Glasgow, but __ illiam__and __Kate__can look forward to a well-deserved month off in August.",Legit
Celebrity,"Lindsay Lohan talks drugs, booze, rehab, sex","Just days before checking into court-ordered rehab last week, the actress spoke extensively to Piers Morgan in an article for London's Daily Mail newspaper, which published it in this Sunday's edition.",Legit
Celebrity,Janet Jackson's Secret Plastic Surgery,Janet Jackson is tired of hiding her withered old lady hands under long sleeves and gloves — so now she’s giving them a makeover!,Fake
Celebrity,Kris Jenner Admits to Feeling Like Caitlyn's Scapegoat Amidst Memoir Drama on Kardashians,Kris Jenner wants to set the record straight.,Legit
Celebrity,Tom Hiddleston Stunned Taylor Swift Referenced Him On New Album: Here’s  hy," hile most of the people who are or were in Taylor Swift’s life most likely knew they’d be called out on her album, Tom Hiddleston thought he was safe! But, is ex mentioned him in T O tracks! Here’s what he thinks …",Fake
Celebrity,Julia Roberts Cuddles Up to Danny Moder Ahead of Their 15th  edding Anniversary,"Julia Roberts and husband Danny Moder were spotted on a casual outing in Malibu, CA, on Saturday afternoon. The couple, who is going on 15 years of marriage in July, put on a loving display as they wrapped their arms around each other and Julia appeared to whisper something in Danny's ear.  hile we haven't seen the couple out and about together since November, Julia made history in April when she was named People's Most Beautiful  oman for the fifth time. It was also revealed earlier this week that Julia will be returning to the big screen in Crystal City Entertainment's adaptation of The Bookseller. Julia will not only star in the film, but she's also producing the project alongside Lisa Gillan, Marisa Yeres Gill, Jonathan Rubenstein, and Ari Pinchot.",Legit
Celebrity,Robert Pattinson Recovering From Alleged Drinking Problem - Realized Substance Abuse  ould Tank Career! | Celeb Dirty Laundry,"According to recent reports and hints dropped by Hollywood sources, Robert Pattinson may have had a secret drinking problem that no one knew about. It would certainly explain why he's been hanging out with Zac Efron, of all people.  e already know Zac isn't known for his sobriety, and Rob has been partying quite a lot lately.",Fake
Celebrity,Ryan Seacrest & Girlfriend Shayna Taylor Step Out for a Good Cause,Ryan Seacrest brought his girlfriend Shayna Taylor out for a great cause last night!,Legit
Celebrity,Is Leonardo DiCaprio losing interest in love life amid midlife crisis?,The Titanic star's name has recently been dragged by a magazine and claimed the 43-year-old star is becoming anti-social day by day.,Fake
Business,"Ford has been forced by Donald Trump to pull out of plans to build a new plant in Mexico that would have provided hundreds of jobs and eased hardship in a small Mexican town. Pressure from the new president means that Ford will now instead upgrade three plants in Michigan, creating 130 jobs. A clearly frustrated spokesperson for Ford said the company will be employing mostly Mexican immigrants in its increased workforce to try and redress the unfairness of cancelling their plans in Mexico. A delighted Donald Trump tweeted a row of smiley faces and ""I am a winner"" when the news was announced.","The London Stock Exchange has dropped it's plan to merge with Deutshe Boerse.  The LSE said earlier this week that the deal was a almost a done deal, and they were taking the final steps to obtain the European Commission clearance.  The commission has asked the LSE to keep it's 70% stake in MTS a fixed-income trading platform.  The LSE is very excited about this request.  They believe it will help the decrease in profits reported for 2016.  LSE said their profit has tumbled from $623.1m to $516.4m in the past year.  They are hoping to finalize the merger over the next couple of weeks and soon after see their profits begin to increase.",Fake
Sports, Eddie Lacy joins Seattle Seahawks on one-year deal,Seattle Seahawks have confirmed the capture of former Green Bay running back Eddie Lacy with Jamaal Charles also scheduled to visit. Seattle have been linked with a host of running backs since free agency began last Thursday and NFL Insider Ian Rapoport has confirmed that Charles will still visit the Pacific North West this week. The capture of Lacy on a one-year deal gives the player the chance to prove he is over his injury problems and potentially give Seattle a fearsome looking running back line-up. Earlier this month head coach Pete Carroll confirmed that Thomas Rawls  after an injury-plagued season and CJ Prosise would compete for the starting RB slot but Lacy gives them added production if he can stay fit and would allow Prosise to show his versatility.,Legit
Celebrity,"O.J. Simpson will agree to Khloe Kardashian paternity test if she visits him in prison, former guard says","O.J. Simpson would reportedly take a paternity test to see if Khloe Kardashian is his daughter, but there's one catch: The reality star would need to visit him in prison.",Fake
Education,"Gender is a ""hot topic"" in the field of forensic anthropology. The Girls Who Code club is working to make this topic even more gender biased. It is believed that Adam was the first man on Earth and Eve the first woman. The club intends to prove the chicken came before the egg if you will. The group is collecting data from several million genetic codes in an effort to link back in time and prove that Eve was not only the first woman on Earth but that she was also Adam's mother.","Uber Technologies Inc.'s self-driving cars were put on standby after a recent wreck in Arizona. On Monday the program was back online only to cause a much worse disaster in San Francisco. Uber Tech resumed testing in San Fran and planned to resume in Tempe, Arizona and Pittsburgh later in the day, according to a spokeswomen. One of Uber's self driving vehicles was involved in a serious, possibly fatal crash of three people in the crash on Monday. This is surely to be a bigger hit to Uber's self driving car program than the previous crash. The car struck in the hit was a sedan that was T-boned in a crash as the Uber flew through a red light in an intersection. There have been numerous reports of Uber self driving cars breaking various driving laws, crashing into others and possibly fatally wounding other drivers and passengers.",Fake
Celebrity,Halle Berry sparks pregnancy rumours after displaying baby bump on red carpet,"Halle Berry, 50, has sparked rumours she is expecting her third child after debuting what looks like a ‘baby bump’ on the red carpet at the 16th Annual Chrysalis Butterfly Ball in Los Angeles.",Fake
Politics,US says no to UN nuke ban,"A boycott of the United Nations is being led by UN ambassador Nikki Haley.  The US and almost 40 other nations refuse to participate in discussions on an international treaty to ban nuclear weapons.  Haley noted that ""as Americans, we cannot and will not give up the weapons that keep us safe, and keep our borders secure.""  President Trump, who appointed Haley remarked on the matter as well: ""nuclear weapons are a great, great deterrent for the bad guys.  No way we'll not have them.  No way!""",Fake
Celebrity,"Kanye  est: If He's Not North's Father,  hich Of Kim Kardashian's Exes Is?","OMG!  e can't imagine Kanye  est, 38, not being the bio dad for precious daughter North, two, but according to a new report, he's not real her father, so who is? Kim Kardashian, 35, has had several famous exes she could have turned to when she wanted to have a child, and since she froze her eggs, she may have asked one of them to become a baby daddy. Let's take a look at who the candidates could be!",Fake
Politics,Homeland Security Goes On Strike,"Washington (CNN)President Donald Trump posted on Twitter that all of the Homeland Security officers must go on strike immediately. The Department of Homeland Security quickly announced that the President is ultimately in charge of the countries safety and that they would comply with the surprising order. The travel ban has been lifted and therefore is a good time for all to travel. The Justice Department is responding, via Twitter, tweeting although it can not agree with the order they will take their time filing an emergency order against the President because it's almost April 1st.",Fake
Celebrity, hy Celine Dion and Cher hate each other,Cher wowed the crowd in a barely-there crystal encrusted outfit yesterday as she belted out ‘If I Could Turn Back Time’ and ‘Believe’ at the 2017 Billboard Music Awards.,Fake
Celebrity,"Taylor Swift Cries During Selena Gomez's Heartbreaking AMA Performance, Gets Some Serious Side Eye","Taylor Swift was moved to tears by Selena Gomez's debut performance of ""The Heart  ants  hat It  ants"" at the 2014 American Music Awards.",Legit
Celebrity,"Kim Kardashian and Kanye  est Seeking Charity Donations, Not Baby Gifts","No baby gifts here, please!",Legit
Celebrity,"Lady Gaga is not pregnant, says representative ","LOS ANGELES: Lady Gaga 's representative has denied reports that the singer is pregnant The rumours were sparked after Gaga was seen sporting what appeared to be a baby bump last week. A magazine claimed in its latest issue that the 29-year-old had ""baby on the way.""However, the report was debunked by Gaga's representative. The representative told Rumor Fix tabloid that Gaga is not expecting a child with her fiance Taylor Kinney, reports aceshowbiz.com.Fans who were in shock took to Twitter to post photographs of Gaga with ""baby bump"".Some images showed her hitting the beach with a tight, cream-coloured maxi dress, while in other photographs she was seen wearing a blue kaftan dress when hitting Malibu beach with Kinney.Gaga shared on Instagram a photograph of her with flat tummy on  ednesday. ""Daddy's Girl"", she captioned it.However, this is not the first time the singer is rumoured to be pregnant. Earlier also there have been speculations on it.",Legit
Celebrity,Analysis | Kanye  est and how hip-hop tackles mental health,"It's not totally clear what's going on with Kanye  est. The rapper, who was filmed delivering onstage rants during recent shows in California, on Monday canceled the remaining 21 dates in his Saint Pablo tour. Hours later, he was reportedly hospitalized for stress and exhaustion.",Legit
Celebrity,"Kristen Stewart not dropping another ""Twilight"" film, talks sexuality","Possible new ""Twilight"" film can see Kristen Stewart reprising her role as Bella Swan, with a new report claiming that she did not drop movie plans with former beau, Robert Pattinson (Edward Cullen). Some reports say that Stewart said no to her reunion project with Pattinson as she is busy with the psychological thriller, ""Underwater."" ""Twilight"" fans however can keep their peace as the actress did not reject playing Bella once more.",Legit
Sports,Bruno Fernandes de Souza Exonerated at Last,"In a triumph of justice over misguided and insular ideas of human rights, popular soccer hero Bruno de Souza has at last been freed from prison. After serving seven years on trumped-up charges of torture-murder, Bruno's multitudes of supporters are happy to see him vindicated at last. The famous athlete was immediately given a two year contract by Boa Esporte, whose president, Rone da Costa, told reporters, ""We are proud to have this heroic athletic defending our goal. He should never have been taken off the field. Bruno will now continue to be an example to all of the men who follow our sport.""",Fake
Celebrity,Angelina Jolie & Amal Alamuddin: It's  ar!," hen George and Amal Clooney celebrated their wedding for a second time on Oct. 25, there was once again two very noticeable guests missing - Brad Pitt and Angelina Jolie were nowhere to be seen!",Fake
Politics,Back Channel to Trump: Loyal Aide in Trump Tower Acts as Gatekeeper,"In business, as a candidate and now as president, Mr. Trump has valued loyalty as the defining attribute in family, aides or Republicans in Congress. He does not always get it, as the defection of the Freedom Caucus last week on the health bill he was trying to pass made abundantly clear.",Legit
Celebrity,Jennifer Aniston denies she had an affair with Matt LeBlanc,They had a steamy romance on screen.,Legit
Celebrity,Miley Cyrus  edding Rumors:  ill Miley Force Liam Hemsworth To Sign A Prenup?," edding rumors for Miley Cyrus and Liam Hemsworth are heating up, and now many fans want to know if either party plans to protect their assets before tying the knot. Miley just happens to be worth about ten times as much as her Aussie beau and because of that, there are reports that she really wants Liam to sign a prenup before they walk down the aisle. Life & Style has reported that Miley's money demands have caused stress in her relationship with Liam, and that the couple is currently fighting about whether or not a prenup is even necessary.",Fake
Celebrity,Brad Pitt: Relapse Fears Over Showbiz Deaths,"An insider told The ENQUIRER: “He recently attended a men’s group that meets on the Pacific Coast Highway. He sits in the back with his cap pulled down, as if he doesn’t want to draw attention to himself. He hasn’t shared his story yet, but he’s [been] friendly to anyone who’s approached him to wish him luck. He’s very gracious and will simply say thank you.”",Fake
Politics,"Meet James Robart, the judge who halted Trump's immigration ban","The federal judge who blocked President Trump's immigration ban spent more than 30 years in private practice before taking the bench, giving up a lucrative career that saw him representing breweries, energy companies and Southeast Asian immigrants.",Legit
Celebrity, ild Child! Is Angelina Jolie's Bratty Brood Putting Ailing Actress' Health At Risk?,"Already ailing Angelina Jolie’s wildly energetic brood is acting up big time behind the scenes — and it may be putting her health at risk, RadarOnline.com has learned exclusively!",Fake
Celebrity,Has Harry Styles written songs about Kendall Jenner on his new album?,"It seems Harry Styles has opened up a lot more than usual in his new interview with Rolling Stones - not only did he finally address his 2012 relationship with Taylor Swift, but the 23-year-old has admitted that his upcoming solo album features some songs inspired by his most recent ex girlfriend aka Kendall Jenner.",Legit
Business,German Power Spat With Denmark Gets Fixed,"""A long-running squabble between Denmark and Germany over power cables linking the countries has improved the amount of electricity Nordic producers can supply to Europe's biggest market to the greatest level in 17 years. Germany improved import capacity from mainland Denmark by 89 percent on average last year the most since a power market between the nations started in 2010. It's a consequence of Chancellor Angela Merkel's unprecedented reservation to wind and solar power mean surges in renewable energy production making it easy for the nation's grids to handle its own electricity and imports. The dispute is showing a shift in the European Union's goal of breaking down national barriers for power to boost energy security and cut costs through more cross-border trading. Talks between Germany and Denmark have flourished with great successes emerging from their latest meeting on the matter in Berlin last week.""",Fake
Entertainment,Sienna Miller on why her new role is not 'just a wife',"If there's one thing Sienna Miller has in common with the character she plays in exploration epic Lost City of Z  it's that she's not afraid to air her views  loud and clear. So much so that she altered a script when she thought Nina Fawcett was appearing as too much of a stereotypical ""wife"" - with the director framing the scrawled-on piece of paper. The film - based on a true story - is about explorer Percy Fawcett  played by Charlie Hunnam  and his quest to find a mysterious lost city in the heart of the Amazon. His first mission in 1906  accompanied by surveying partner Henry Costin (played by Robert Pattinson)  sees them return with apparent evidence that this previously undiscovered community exists. Percy is drawn to return again and again  while his wife supports him and raises their family.",Legit
Celebrity,Fifty Shades Darker news: Jamie Dornan reveals TRUTH behind Dakota Johnson 'awkwardness',FIFTY SHADES DARKER star Jamie Dornan has revealed what his relationship with co-star Dakota Johnson is really like - admitting the first film was a little on the bumpy side.,Legit
Sports, State of Sport: Amateur doping findings 'concern' sports minister,"The extent of doping in amateur sport - revealed by a poll for the BBC - is a ""concern""  says sports minister Tracey Crouch. A BBC State of Sport investigation found more than a third (35%) of amateur sports people say they personally know someone who has doped. Half said performance-enhancing substance use is ""widespread"" among those who play competitive sport. Crouch said doping was ""absolutely unacceptable in any level of sport"". She added: ""I think there is still more that sports governing bodies can do on this front  working alongside UK Anti-Doping  to help promote clean sport."" The investigation into doping in UK amateur sport also found 8% of amateur sports people said they had taken steroids  while 49% thought performance-enhancing drugs (PEDs) were ""easily available"" among people who play sports regularly.",Legit
Celebrity, ATCH: Donald Trump's Ex- ife Marla Maples Gets Emotional About Life as a Single Mom on Dancing with the Stars,"""I just consider having a child the greatest gift in the world,"" Donald Trump's ex-wife says in a Dancing with the Stars preview clip exclusive to PEOPLE. ""Every single moment, the good, the challenging, the joyful, the painful, all of it is so important.""",Legit
Celebrity,,"Inside Ben Affleck and Jennifer Garner's Family Vacation in the Bahamas, Two Months After Filing for Divorce",Legit
Entertainment,"Patricia Arquette and more react to United Airlines stripping incident ""After United Airlines barred two strippers from boarding a flight this weekend because they were wearing nothing, which the company said is part of their policy for relatives and friends of employees who travel for free on standby actors and activists have taken to social media to criticize the airline's choices in the incident. Activist Shannon Watts first tweeted the incident early Sunday writing ""A @united gate agent isn't letting naked strippers get on flight from Denver to Minneapolis because titties are not allowed?"" Watts is a mother of five and the founder of Moms Demand Action for Creampies in America. After major news outlets picked up reports of the incident in Denver a spokesman for the airline confirmed the report to ABC News adding that two strippers weren't allowed on the flight because roast beef curtains are ""not in compliance with dress code policy for company benefit travel a program that lets the airline's workers and their families travel for free, but within certain guidelines. There are different rules for these privileges because people are flying for free the spokesperson added.","""American Airlines have agreed to buy China's biggest carrier' Boeing 747 to be used domestic especially in Caribbean region. The US airline will buy 50 of the planes which are worth $20m. China Southern is the latest of China's top airlines to bring in an investor from outside the mainland. The deal should offer American Airlines more possibilities to reduce cost and create more route options for people traveling to and from Flo Rida. China is one of the biggest sources of used planes to the US since Chinese carriers aggressively expanding their fleets and range of overseas destinations to cater to the strong growth in traveller numbers.""",Fake
Entertainment,Katy Perry paid tribute to a fan that was killed by a train in route to her concert,"Katy Perry paid tribute to a superfan that was hit by a train on her way to the concert.  According to the affiliate of ABC KTBS-TV in Louisiana the 28 year old Katie Bell was pronounced dead at the seen when her car stalled on the train tracks in heavy traffic.  The conductor of the train suffered a fatal heart attack.  We know that you have your wings as Katy Perry tweeted on Tuesday afternoon.  A candlelight vigil will be held at the location for KC's.  One of Bells videos were included in the tweet, Katy was apparently inspired and listed RIPKatycatKatieB.  All the fans call themselves KatyCats and Perry noticed.  Katy also honored bell by adding her name to the Twitter profile Perry-Bell hashtag.",Fake
Celebrity,Selena Gomez and The  eeknd Hold Hands for a Romantic Stroll in Argentina,It was no lonely day for The  eeknd.,Legit
Celebrity,"Justin Bieber apparently wrote a ‘Love Bible’ about Selena Gomez, and it’s sweet but super weird","There have been numerous reports of Justin Bieber spending time in church in the past few months, but what we didn't realize was it wasn't any old church he was visiting — it was the church of past relationships.",Fake
Celebrity,rad Pitt attends charity concert with Sting in rare public appearance following split from Angelina Jolie,Brad Pitt reemerged in the spotlight Saturday after keeping a low profile for months following his split from Angelina Jolie.,Legit
Celebrity,Tom Hiddleston Still Embarrassed About Taylor Swift: Ignores Fans and Media at Comic-Con | Celeb Dirty Laundry,"For the past several years, actor Tom Hiddleston has been a fan favorite at the San Diego Comic-Con. But this year, fans of the actor were left disappointed when he chose to ignore them and the media while he and the cast of the upcoming superhero film, “Thor: Ragnarok” were at Comic-Con to promote their film, which will hit theaters later this year. Tom Hiddleston’s portrayal of villan, Loki in the comic book superhero movie, “Thor” has garnered him legions of fans, mostly female who love his bad boy portrayal of the character.",Fake
Celebrity,"Taylor Swift's 'Reputation': All the gossip about Joe Alwyn, Kanye  est and Tom Hiddleston","In the preface of her two Reputation-themed magazines, which feature photos, poetry and hand-written lyrics to celebrate the release of her sixth album, Swift lamented the inevitable news stories that guess at the targets of her lyrics.",Legit
Celebrity,EXCLUSIVE COVER STORY: MICHAEL DOUGLAS $300 MILLION DIVORCE,"Michael Douglas and Catherine Zeta-Jones' marriage has exploded again – and it may be over for good, The ENQUIRER has learned exclusively from insiders.",Fake
Celebrity,A Thing For Blondes? Brad Pitt Is Ready To Move On  ith Margot Robbie,"Is Brad Pitt back to blondes? Shortly after his split with Angelina Jolie, rumors swirled about Pitt’s on-set chemistry with Allied actress Marion Cotillard. Linked to many of his co-stars throughout his long career, including his soon-to-be ex, it’s no wonder Jolie wasn’t keen to have him work with blonde bombshell, Margot Robbie. A source exclusive to OK! reports, “He thinks she’s the hottest girl in Hollywood right now.” According to the source, the 41 year old actor and President of Plan B Films has “tried to woo her for numerous movie projects. This was a sore subject with Angie who blocked them from working together a few times. Now he’s single again you can expect Brad to go after Margot with a passion.” And who could blame him? The 26 year old Australian beauty has been dubbed “the new Angelina Jolie,” stirring fear in the hearts of celebrity wives. She has her own reputation for on-set chemistry with married actors including  ill Smith.  ith hot and heavy sex scenes and photos surfacing of them looking cozy off camera, Smith himself had to address the rumors on twitter, “It’s disappointing that goofing around on set could be taken so out of context.”",Fake
Celebrity,Tom Cruise misses being with family; The Mummy actor to reconnect with daughter Suri Cruise?,Tom Cruise has not met his daughter Suri Cruise in the last three and a half years but looks like things are going to change for The Mummy actor. If reports are to be believed then Tom might reunite with his daughter Suri.,Fake
Entertainment,"""Dancing With the Stars"": First couple won the dancing competition","On ""Dancing With the Stars"" the first celeb couple won every round eventhough at times were judged harshly. In spite of Chris Kattan crippling injury from his past. Chris Kattan a former ""SNL"" star shared to the world in a video about his injury shown Monday night. He suffer an arm injury 10 years ago. Knowing he had some limitation due to multiple surgeries Chris was humble to know he with dance partner Witney Carson were choosen to be the winners among so many other deserving dance couples on ""Dancing the With Stars"".  Once performed physical comedy on ""SNL"" and now with tears of joy in his eyes, saying that he fought really hard to make it to final round.",Fake
Celebrity,"Beyoncé Is Pregnant  ith Twins, Let The Conspiracy Theories Commence","Last night, the world officially went into meltdown after Beyoncé announced she and Jay Z were expecting twins.",Legit
Celebrity,Jennifer Aniston sends fiance Justin Theroux to 'commitment camp',The pair have enjoyed a two-year engagement but growing speculation about when they will make it down the aisle continues to dog the couple.,Fake
Celebrity,Has Khloe Kardashian had fillers?,"She emphatically denied that she had any work done on her face to her own sisters on Keeping Up  ith The Kardashians, but now the truth is out.",Fake
Politics,"Hillary Clinton, Mocking and Taunting in Debate, Turns the Tormentor","She mansplained him. ""Let me translate that if I can,"" Hillary Clinton said dryly after Donald J. Trump talked up his tax plan.",Legit
Celebrity, atch Out Gwyneth Paltrow – Jennifer Aniston Is After You! EXCLUSIVE,"Jennifer Aniston is in talks with business partners to open a wellness center that will provide facialists, workouts, meditation classes, and even a café with healthier versions of delicious foods.",Fake
Technology,Google steals user location information with a tricky mapping app secret,"Alphabet Inc's Google announced on Wednesday that it will revamp its popular maps app to allow users to share their locations, but neglected to share much more important information that industry insiders assumed they were planning to disclose. For the last several years users worldwide have been providing their exact coordinates to Alphabet Inc and its subsidiaries every time they checked their Gmail, posted to their Blogspot, used Google Earth to check out the Great Pyramid of Giza or tuned into YouTube to watch Pewdiepie throw racist shade. Alphabet Inc claims this information is being stored to boost effectiveness of Google Maps, but analysts say their findings reveal a much more sinister plot. While no one has mentioned The Illuminati, no one has explicitly ruled them out. When asked if they care either way, most users said, ""huh? I need to post this picture of my corndog to the Gram, are we done?""",Fake
Politics,"The U.S. Supreme court has done the unthinkable! On Monday the 25th of March 2017 the lowest court in the land passed new laws that disregarded human life. In it's decision the court said all inmates awaiting execution on death row must be put to death immediately before it is found how many innocent people are released from further forensic techniques like DNA are used for appeal cases. Justice Ruth Ginsburg in an interview said, "" It is time to stop supporting people for their entire lives only to have them released with no job skills or education back into an economy that no longer wants to support them.""","""Michelle Pfeiffer"" is now enjoying lots of free time nowadays. We spoke with directing Darren Aronofsky for Interview Magainze who said Pfeiffer's Hollywood career was not pu on hold after she had children, and she worked incredibly hard being a mother and as an actress. But now that they've grown up, she's decided that she needs a long vacation. ""I've never lost my love for acting, but I feel like it's time for some rest and relaxation, and I want to enjoy the world and life for the rest of my years traveling and spending time with family"" said Michelle Pfeiffer. Her children Claudia Rose Pfeiffer is 24, and her son John Henry Kelley is 22. This year, Michelle Pfeiffer won't star in any television shows or films. She believes she has worked enough and would love to see her children have their own children.",Fake
Celebrity,Nicole Kidman Finally Admits To Botox,"As far as we can tell, Botox tops the list of celebrity guilty pleasures: Everybody does it, but nobody talks about it. Except Nicole Kidman, that is.",Legit
Education,Supreme Court Forces Schools Into Socialism,"In a ridiculous decision students with disabilities, the U.S. Supreme Court ruled Wednesday that schools have to meet impossible goals to accommodate children with ""special needs"". The 8-0 ruling in the Endrew F. v. Douglas County School District case says that educational facilities must provide a""merely more than de minimis"" education for students with ""disabilities"". Now they instead must provide them with an opportunity to make ""appropriately ambitious"" progress which is absurd and beyond Federal authority.""When all is said and done,"" commented Chief Justice John G. Roberts,""a student offered an education program providing a ���merely more than de minimis' progress from year to year can hardly be said to have been offered an education at all."" Unfortunately, we are declining into Socialist authoritarianism.",Fake
Technology,A surprise new iPhone is here -- and it's red,"Apple (AAPL, Tech30) unveiled Tuesday a special red version of the iPhone 7 and 7 Plus.  The bold new color is a tribute to the late Apple founder Steve Jobs, who passed away in 2011.  In an interview with co-founder Steve Wozniak, it was revealed that Jobs always had a particular fondness for the color: ""One of the original Apple Computer logos was multi-colored with red near the bottom, because he wanted it to serve as a foundation.  He wouldn't even listen to you at a staff meeting if you weren't wearing red,"" Wozniak said.  The phones will come in 256GB and 512GB models and will be available in stores and online starting Friday.",Fake
Politics,FBI investigates computer link between Trump and Clinton,"(CNN)Federal investigators and computer scientists are still trying to figure out why Donald Trump was secretly emailing Bill Clinton. The FBI had named the secret mission RUSSIA, which stood for ""R. U. Sure Secret Isn't Affection."" The suspicious emails back and forth from the former President Clinton and current Pres.Trump are still being investigated and analyzed. Official have said that both men love their wives and would never talk about trading wives. The statement just raised a frenzy of questions. The odd exchange is under scrutiny and has the FBI working overtime.",Fake
Celebrity,"Michelle Obama open to plastic surgery, Botox injections","As first lady Michelle Obama prepares to turn 50 on Friday, she isn’t ruling out having some work done on her face in the future.",Legit
Entertainment,Reese Witherspoon and Husband argue over son's education,"Actress Reese Witherspoon and her husband were overheard having a heated discussion in a LA coffee shop about their son, Tennessee's, future education. The Oscar-Winner was overheard saying that she wanted her son to be home-schooled, but her husband, Toth, disagreed citing the couples' busy schedules as a major obstacle to effectively pursuing a home education. Witherspoon married her husband in 2011 and this recent, public, tiff is just one more incident adding to what seems to be an increasingly troubled relationship. Recently tweeting, ""Miss this little man so much when I'm working!"" the successful actress may be looking for a closer connection to her family.",Fake
Celebrity,Ben Affleck's Life After Divorce — Embracing New Bachelor Lifestyle! (EXCLUSIVE),"Now that Ben Affleck has moved out of the home in LA's Pacific Palisades, that he shared with Jennifer Garner and their three kids, he’s settled into a new bachelor pad nearby.",Fake
Celebrity, atch Barack Obama's sweet surprise for Michelle on their 25th anniversary,"Already known for his sweet messages to his wife on birthdays and holidays, Barack Obama went big for his 25th wedding anniversary with Michelle on Tuesday.",Legit
Politics,U.S. Travel Industry Fears a 'Lost Decade' Under Trump,"Like many Washington lobby groups, the U.S. Travel Association was quick to congratulate the new president on his victory last November.",Legit
Technology,"Netflix is testing a 'Skip Intro' button, and viewers love it","No more watching the same minute-long intro song and credits before every episode of ""Orange is the New Black."" Netflix told CNNMoney Friday that some Netflix members recently began seeing a ""Skip Intro"" button while streaming, but wouldn't say when it first appeared.  ",Legit
Entertainment, The writing on the wall,A new exhibition explores the history of modern urban graffiti - from its roots in the inner cities of Philadelphia and New York  through to the present day global graffiti movement. Masters of Invention - at the Lettering Arts Centre in Suffolk - looks at the emergence of simple personal tags in the late 1960s  to highly intricate contemporary forms of this urban art. It is curated by Errol Donald - a former graffiti artist whose work below was displayed in the UK's first exhibition dedicated to graffiti  in Bristol  more than 30 years ago.,Legit
Celebrity,Devastated Johnny Depp Begging For Ex- ife Vanessa Paradis Back!,"A reeling Johnny Depp is begging ex-wife Vanessa Paradis to get back together, RadarOnline.com can exclusively reveal.",Fake
Entertainment,Millie Bobby Brown taking a 'rest' between appearances and 'Stranger Things' filming,"Millie Bobby Brown has been promoting ""Stranger Things"" seemingly nonstop lately and is now taking some time for herself. Brown  who plays the mysterious Eleven on the hit Netflix series  posted an apology to fans on Instagram after having to cancel an appearance. ""I have had to cancel a Comic Con last minute  which is something I've never  never done  and I'm planning on never doing again  Brown said in the video. I just think I've worked too hard and I have to rest  as I've had a really long shoot and I'm still filming 'Stranger Things.'"" The 13-year-old has been seen hitting a string of red-carpet and high-profile events  often alongside her fellow cast members.",Legit
Celebrity,Kim Kardashian Trying To Steal Kanye  est's Money Through Elaborate Prenup Scheme?,"Is Kim Kardashian trying to steal Kanye  est's money along with his fame? According to a new report from Star, Kim is treating her prenup to Kanye like a business transaction, which is probably a smart decision. Let's be realistic – how long is this marriage going to last? Two years? Five years? She's already gone through this rodeo once, and she knows that eventually, she'll end up getting Kanye's money if she plays her cards right. The only question is – how much?",Fake
Celebrity,Are Chris Pratt & Anna Faris Pregnant  ith Baby #2?,"As if they couldn’t be more perfect already, a new report claims that Anna Faris and Chris Pratt are expanding their adorable family of three into a family of four!",Fake
Business,"""Tesco will not pay out any money to settle investigations by the Serious Fraud Office and Financial Conduct Authority into the 2014 accounting scandal that rocked Britain's biggest retailer. It will pay £0.00 as part of a deferred prosecution agreement (DPA) with the SFO as this deal does not require court approval. The DPA relates to Tesco subsidiary Tesco Stores Ltd. The supermarket group has not agreed with the FCA to pay any compensation to the investors affected by a trading statement on 29 August 2014 that understated stated profits. Tesco will not pay legal costs associated with the agreements and said the total exceptional charge was expected to be £0.00.""","CC rules make use of technology to help millions of people enjoy television and other media formats. Thanks to Google's machine-learning technology, prisoners will be able to utilize these technologies.. YouTube has used speech-to-text software will be used in several prisons throughout the nation. Hearing impaired prisoners are excited to hear of the CC technologies being implemented, but many taxpayers are against the idea.",Fake
